ANO_ELEICAO,NUM_TURNO,SIGLA_UE,DESCRICAO_CARGO,APTOS,COMPARECIMENTO
2010,1,SE,DEPUTADO FEDERAL,1425334,1184869
2010,1,SE,GOVERNADOR,1425334,1184869
2010,1,SE,SENADOR,2850668,2369738
2010,1,SP,DEPUTADO ESTADUAL,30289723,25310267
2010,1,SP,DEPUTADO FEDERAL,30289723,25310267
2010,1,SP,GOVERNADOR,30289723,25310267
2010,1,SP,SENADOR,60579446,50620534
2010,1,TO,DEPUTADO ESTADUAL,947904,772644
2010,1,TO,DEPUTADO FEDERAL,947904,772644
2010,1,TO,GOVERNADOR,947904,772644
2010,1,TO,SENADOR,1895808,1545288
2010,2,AL,GOVERNADOR,2033518,1496646
2010,2,AP,GOVERNADOR,420349,338553
2010,2,DF,GOVERNADOR,1834135,1479989
2010,2,GO,GOVERNADOR,4059028,3158104
2010,2,PA,GOVERNADOR,4763571,3487580
2010,2,PB,GOVERNADOR,2738389,2217140
2010,2,PI,GOVERNADOR,2261931,1744686
2010,2,RO,GOVERNADOR,1078402,801952
2010,2,RR,GOVERNADOR,271603,221679
2014,1,AC,DEPUTADO ESTADUAL,506520,418772
2014,1,AC,DEPUTADO FEDERAL,506520,418772
2014,1,AC,GOVERNADOR,506520,418772
2014,1,AC,SENADOR,506520,418772
2014,1,AL,DEPUTADO ESTADUAL,1995153,1612496
2014,1,AL,DEPUTADO FEDERAL,1995153,1612496
2014,1,AL,GOVERNADOR,1995153,1612496
2014,1,AL,SENADOR,1995153,1612496
2014,1,AM,DEPUTADO ESTADUAL,2225630,1791817
2014,1,AM,DEPUTADO FEDERAL,2225630,1791817
2014,1,AM,GOVERNADOR,2225630,1791817
2014,1,AM,SENADOR,2225630,1791817
2014,1,AP,DEPUTADO ESTADUAL,455368,407846
2014,1,AP,DEPUTADO FEDERAL,455368,407846
2014,1,AP,GOVERNADOR,455368,407846
2014,1,AP,SENADOR,455368,407846
2014,1,BA,DEPUTADO ESTADUAL,10179390,7818832
2014,1,BA,DEPUTADO FEDERAL,10179390,7818832
2014,1,BA,GOVERNADOR,10179390,7818832
2014,1,BA,SENADOR,10179390,7818832
2014,1,CE,DEPUTADO ESTADUAL,6268909,5007565
2014,1,CE,DEPUTADO FEDERAL,6268909,5007565
2014,1,CE,GOVERNADOR,6268909,5007565
2014,1,CE,SENADOR,6268909,5007565
2014,1,DF,DEPUTADO DISTRITAL,1895697,1674508
2014,1,DF,DEPUTADO FEDERAL,1895697,1674508
2014,1,DF,GOVERNADOR,1895697,1674508
2014,1,DF,SENADOR,1895697,1674508
2014,1,ES,DEPUTADO ESTADUAL,2651621,2150248
2014,1,ES,DEPUTADO FEDERAL,2651621,2150248
2014,1,ES,GOVERNADOR,2651621,2150247
2014,1,ES,SENADOR,2651621,2150247
2014,1,GO,DEPUTADO ESTADUAL,4329834,3514438
2014,1,GO,DEPUTADO FEDERAL,4329834,3514438
2014,1,GO,GOVERNADOR,4329834,3514438
2014,1,GO,SENADOR,4329834,3514438
2014,1,MA,DEPUTADO ESTADUAL,4495864,3433672
2014,1,MA,DEPUTADO FEDERAL,4495864,3433672
2014,1,MA,GOVERNADOR,4495864,3433672
2014,1,MA,SENADOR,4495864,3433672
2014,1,MG,DEPUTADO ESTADUAL,15236578,12186182
2014,1,MG,DEPUTADO FEDERAL,15236578,12186182
2014,1,MG,GOVERNADOR,15236578,12186182
2014,1,MG,SENADOR,15236578,12186182
2014,1,MS,DEPUTADO ESTADUAL,1817511,1444320
2014,1,MS,DEPUTADO FEDERAL,1817511,1444320
